Autorius,Pavadinimas,Metai,Kodas
Jerry Spinelli,Žvaigždė,2004,
Ray Bradbury,Marso kronikos,1992,
Unė Kaunaitė,"Sudie, rytojau",2011,
Umberto Eco,Rožės vardas,1991,
Umberto Eco,Rožės vardas,1991,
Ėrichas Marija Remarkas,Dangus neturi išrinktųjų,2005,
Ė.M.Remarkas,Trys draugai,1991,
Ė.M.Remarkas,Trys draugai,1991,
Erikas Marija Remarkas,Vakarų fronte nieko naujo,1960,
Malala Yousafzai su Christina Lamb,Aš esu Malala,2022,
Emmi Itaranta,Vandens skonis,2017,
Emmi Itaranta,Vandens skonis,2017,
Kazys Boruta,Mediniai stebuklai. Baltaragio malūnas,1979,
Kazys Boruta,Mediniai stebuklai. Baltaragio malūnas,1983,
George Orwell,Gyvulių ūkis,1991,
Stefan Zweig,Širdies nerimas,2021,
Rūta Šepetys,Druska jūrai,2022,
Victor Hugo,Paryžiaus katedra,2010,
"Yousafzai, Malala",Aš esu Malala,2022,
Alvydas Šlepikas,Mano vardas – Marytė,2013,
Jonas Biliūnas,Kūdikystės sapnai,2006,
J.Biliūnas,,1959,
H.Balzakas,Šagrenės oda,1952,
Šekspyras,Sonetai,2002,
Šekspyras,Hamletas,2018,
,kaip grįžtančius namo paukščius,1997,
Saulius Žukas,Homero Iliada ir Odisėja,2000,
Jonas Biliūnas,Laimės žiburys,1976,
Jonas Biliūnas,Apsakymai,1984,
Jonas Biliūnas,Kūdikystės sapnai,2006,
Jonas Biliūnas,Parinkti raštai mokykloms,1937,
Onorė Balzakas,Trisdešimties metų moteris,1991,
O.Balzakas,Šuanai,1958,
Aistė Sabeckytė,Aš ir mūza viena kitą turim,2020,
Vincas Mykolaitis Putinas,Raštai  4 tomas. Altorių šešėly,1992,
Marius Ivaškevičius,Madagaskaras,2012,
Marius Katiliškis,Miškais ateina ruduo,1991,
Marius Katiliškis,Miškais ateina ruduo,2021,
Vytautas Petkevičius,Linelis brolelis,1981,
Carson Ellis,Home,2015,
Marius Lasinskas,Vaikai vaistažolių pasaulyje,2019,
Julius Būtėnas,Povilas Višinskis,1936,
Albinas Visockis,Jonas Basanavičius,1991,
Adolfas Nezabitauskas,Jonas Basanavičius,1990,
S.Žukas,Simonas Daukantas,1988,
,Žalia bruknelė Daukantui,1993,
R.Pakalniškis,Justinas Marcinkevičius,1984,
Vanda Zaborskaitė,Maironis,1987,
I.Slavinskaitė,Maironis,1987,
,Vytautas Mačernis (konferencijos medžiaga),1993,
,Atsiminimai apie Marcelijų Martinaitį,2016,
A.Kalėda,Adomas Mickevičius,1985,
Tomas Sakalauskas,Beatričė,1982,
Aleksandras Merkelis,Juozas Tumas Vaižgantas,1989,
T.Bikinaitė,Antanas Vienažindys,1989,
Kazys Binkis,Motiejus Valančius,1935,
,Vydūnas lietuvių kultūroje,1984,
Kazys Umbrasas,Žemaitė,1975,
Pranas Antalkis,Nepažįstamas Vydūnas,1991,
,Žemaitė gyvenime ir kūryboje,1956,
Edis Kriaučiūnas,Geografas. Ričardui Baubinui atminti,2020,
Jean-Pierre Luminet,Koperniko paslaptis,2014,
Matas Šalčius,Svečiuose pas 40 tautų,1989,
Jonas Matusas,Švitrigaila Lietuvos didysis kunigaikštis,1991,
A.Šapoka ir kt.,Vytautas Didysis,1988,
Antanas Kučinskas,Kęstutis,1988,
J.Jakštas ir kt. ,Jogaila,1935,
Alvydas Nikžentaitis,Gediminas,1989,
Albinas Visockis,Jonas Basanavičius,1991,
Adolfas Nezabitauskis,Jonas Basanavičius,1990,
Jozefas Pficneris,Didysis Lietuvos kunigaikštis Vytautas kaip politikas,1989,
F.Šachermeiras,Aleksandras Makedonietis,1994,
Aleksandras Kravčiukas,Kleopatra,1992,
"Laisvė Radzevičienė, Vytaras Radzevičius",Arvydas Sabonis,2015,
Josifas Kuninas,Rimskis – Korsakovas,1978,
S.Cveigas,Balzakas,1963,
Eva-Maria Metcalf,Astrid Lindgren,2014,
Franc Gartman,Žiznj Paracelsa į suščnost ego učenija (rusų k.),1998,
Aldona Ruseckaitė,Dūžtančios formos. Romanas apien Vytautą Mačernį,2017,
Gilles Van Grasdorf,"Tenzinas Giatso, paskutinis Dalai Lama",2022,
Samuel Graydon,Einšteinas laike ir erdvėje,2023,
"Judžinas O’Nilas, Luidžis Pirandelas, Augustas Strindbergas, Alfredas Žari",Dramos,1973,
Haris Langdonas,Šventiniai vaidinimai vaikams ,1995,
Birutė Želvytė,XX a prancūzų dramos,1988,
Juozas Grušas,Joninių nakties legenda. Panas ir mergytė,1998,
Kostas Kubilinskas,Strakaliukas ir makaliukas,1986,
,Dvi amerikiečių pjesės,1991,
Bomarše,Figaro vedybos,1972,
,Lietuvių vaikų dramaturgija,1984,
Kazys Saja,Melų diena,1981,
Kazys Saja,Kentaurų imtynės,1989,
Juozas Grušys-Žilvinis,Joninių nakties legenda. Panas ir mergytė,1998,
Violeta Palčinskaitė,Kristiano Anderseno rožė,1978,
"Jane Yolen, Bruce Coville",Armagedon summer,1999,
Albinas Plėšnys,Filosofijos įvadas,1996,
Albinas Plėšnys,Filosofijos įvadas,1996,
Ernst vos Aster,Filosofijos istorija,1995,
A.S.Bogomolov,Antičnaja filosofia [rusų k],1985,
F.Arskis,Periklis,1989,
Antanas Maceina,Saulės giesmė,1991,
Antanas Maceina,Raštai III,1990,
Antanas Maceina,Raštai III,1990,
"Howard A.Ozmon, Samuel M.Craver",Filosofiniai ugdymo pagrindai,1996,
Martynas Heidegeris,Rinktiniai raštai,1992,
"Marija Furst, Jurgenas Trinksas",Filosofija,1995,
,Pasaulio gyvūnų atlasas,2009,
Joachim Oppermann,Dinozaurai,2005,
Selemonas Paltanavičius,Tėvai ir vaikai,2008,
Mantas Wizard,Kaip pradanginti dramblį,2016,
,Smagūs drožiniai,,
Brian Bagnall,Kaip piešti ir tapyti,1996,
,Lankstiniai,,
Alberta Natalija Dragūnaitienė,Sudargo istorijos atspindžiai,2019,
,Suokalbis,1989,
Stasys Ankevičius,"Už Uralo, žemės galo",1989,
Stasys Ankevičius,"Už Uralo, žemės galo",1989,
Leonas Karsavinas,Europos kultūros istorija [1],1991,
Leonas Karsavinas,Europos kultūros istorija [2],1994,
J.Jurginis,Istorija ir kultūra,1984,
Jurgis Baltrušaitis,Visuotinė meno istorija [1 dalis],1992,
Herodotas,Istorija,1988,
Stelio Martelli,Apvaliojo stalo riteriai,1996,
Džonas D.Kleras,Viduramžių miestai,1995,
Džonas D.Kleras,Romos pasaulis,1995,
Klaudijus Driskius,Lietuvos kelias,1993,
Jonas Avyžius,Gėlė mažylė,1979,
,Kalbos praktikos patarimai,1985,
Juozas Aputis,Sugrįžimas vakarėjančiais laukais,1977,
Juozas Aputis,Skruzdėlynas Prūsijoje,1989,
Alė Rūta,Trumpa diena. Motinos rankos. Kelias į kairę,1992,
Jonas Biliūnas,Brisiaus galas,2020,
Jonas Biliūnas,Kliudžiau,2003,
Jonas Biliūnas,Brisiaus galas,2020,
Jonas Biliūnas,Raštai III,1981,
Jonas Avyžius,Sodybų tuštėjimo metas,1982,
Jonas Avyžius,Chameleono spalvos,1979,
Jonas Aistis,Milfordo gatvės elegijos,1991,
Jonas Aistis,Daina graudyn ir istabyn,1991,
Gabrielė Petkevičaitė Bitė,Žvaigždžių takais,1981,
Kazys Binkis,Raštai II. (Atžalynas),1973,
Kazys Boruta,Baltaragio malūnas,1962,
Kazys Boruta,Lyrika,1984,
Kazys Boruta,Neramūs arimai,1970,
Bronė Buivydaitė,Pro vaikystės langą,1969,
Romualdas Granauskas,Gyvenimas po klevu,1988,
Romualdas Granauskas,Gyvenimas po klevu,1988,
Antanas Drilinga,Jau saulelė,1982,
Jurgis Gimberis,Pusplikių šeimos laikų kronika,1991,
Sigitas Geda,Žydintys lubinai piliakalnių fone,1999,
Juozas Grušas,Raštai II,1980,
Juozas Grušas,Raštai II,1980,
Juozas Grušas,Raštai III,1980,
Juozas Grušas,Raštai IV,1981,
Juozas Grušas,Raštai V,1981,
Juozas Grušas,"Meilė, džiazas ir velnias",1989,
Juozas Grušas,Karjeristai,1957,
Juozas Grušas,Švitrigaila,1976,
Jurga Ivanauskaitė ,Mėnulio vaikai,1988,
Jurga Ivanauskaitė ,Mėnulio vaikai,1988,
Jurga Ivanauskaitė ,Sapnų nublokšti,2000,
Jurga Ivanauskaitė ,Miegančių drugelių tvirtovė,2007,
Jurga Ivanauskaitė ,Mėnulio vaikai,2007,
Juozas Albinas Herbačiauskas,Erškėčių vainikas,1992,
Marius Katikiškis,Uuovėja. Išėjusiems negrįžti,1990,
Marius Katikiškis,Uuovėja. Išėjusiems negrįžti,1990,
Vidmantė Jasukaitytė,"Balandė, kuri lauks",1989,
Lazdynų Pelėda,Stebuklingoji tošelė,1982,
Lazdynų Pelėda,Stebuklingoji tošelė,1961,
Vincas Kudirka,Raštai I,1989,
,Vargdienėlių dienos,1977,
Lazdynų Pelėda,Klajūnas,1967,
Lazdynų Pelėda,Klajūnas,1990,
Lazdynų Pelėda,Klajūnas,1991,
Lazdynų Pelėda,Ir pražuvo kaip sapnas,1990,
Lazdynų Pelėda,Ir pražuvo kaip sapnas,1990,
Vincas Krėvė,Rinktiniai raštai I,1982,
Vincas Krėvė,Žentas,1956,
Mikalojus Katkus,Balanos gadynė,1989,
Vincas Kudirka,Raštai II,1990,
Vincas Krėvė,Aitvaras,1970,
Vincas Krėvė,Bobulės vargai,2000,
Vincas Krėvė,Bobulės vargai,1977,
Vincas Krėvė,Bobulės vargai,1977,
Julijonas Lindė-Dobilas. Lazdynų Pelėda,Blūdas. Klaida,1990,
Jonas Marcinkevičius,Benjaminas Kordušas,1960,
Antanas Miškinis,Sulaužyti kryžiai,1989,
Antanas Miškinis,Sulaužyti kryžiai,1989,
Antanas Miškinis,Sulaužyti kryžiai,1989,
Icchokas Meras,Du romanai,1991,
Jonas Mekas,Trys draugai. Jurgis Mačiūnas. Yoko Ono. John Lennon,1998,
Jonas Mekas,Laiškai iš niekur,1997,
Kristijonas Gotlybas Milkus,Pilkainis,1990,
Eduardas Mieželaitis,Čia Lietuva,1974,
Kęstutis Navakas,Du lagaminai sniego,2009,
Antanas Poška,Mano gyvenimo pasaka,,
Juozas Požėra,Žuvys nepažįsta savo vaikų,1985,
Vincas Pietaris,Algimantas,1989,
Vincas Mykolaitis Putinas,Sukilėliai,1986,
Kazys Saja,Klaidžiojimas,1982,
Kazys Saja,Gvidono apsiaustas,1988,
Kazys Saja,Kinivarpų raštai,2013,
Kazys Saja,Rinktiniai raštai /1,1990,
Kazys Saja,Rinktiniai raštai /2,1990,
Marija Pečkauskaitė (Šatrijos Ragana),Motina – auklėtoja,1998,
Šatrijos Ragana,Į šviesą,1974,
Šatrijos Ragana,Irkos tragedija,1969,
Šatrijos Ragana,Sename dvare,1969,
Ieva Simonaitytė,Raštai II,1987,
Ieva Simonaitytė,Raštai III,1988,
Ieva Simonaitytė,… o buvo taip,1960,
Balys Sruoga,Aitvaras teisėjas,1987,
Balys Sruoga,Aitvaras teisėjas,1987,
Balys Sruoga,Raštai III,1957,
Balys Sruoga,,1958,
Jolita Skablauskaitė,tik šviesūs paukščiai naktyje,1986,
Jolita Skablauskaitė,Žolių kartumas,1990,
Vydūnas,Dramos,2005,
Žemaitė,Marti,1985,
Žemaitė,Motinėlės ašaros,1973,
Žemaitė,Mokinio biblioteka,1956,
Vydūnas,Raštai III,1992,
Motiejus Valančius,Vaikų knygelė,1992,
Vaižgantas,Dėdės ir dėdienės. Nebylys. Rimai ir nerimai,1974,
Juozas Tumas – Vaižgantas,Rimai ir Nerimai,1979,
Vaižgantas,Nebylys,1995,
Vaižgantas,Apysakos. Apsakymai. Vaizdai,1984,
M.Valančius,Palangos Juzė,1965,
Antanas Vaičiulaitis,Valentina,1992,
Rimantas Šavelis,Tadas Blinda,1991,
Algimantas Zurba ,Melnragės akmenys,2005,
Algimantas Zurba ,Krisius,2010,
Žemaitė,Petras Kurmelis,1976,
Vytautė Žilinskaitė,Karuselėje,1970,
Vytautė Žilinskaitė,Vaiduokliai,1991,
Jurga Ivanauskaitė,Ištremtas Tibetas,1996,
Ričadas Gavelis,Vilniaus pokeris,1989,
Vidūnas,Sveikata. Jaunumas. Grožė,2013,
Martynas Mažvydas,Pirmoji lietuviška knyga,,
Balys Sruoga,"Raštai, III tomas",1957,
Balys Sruoga,"Raštai, IV tomas",1957,
Balys Sruoga,"Raštai, VI tomas",1957,
Ignas Šeinius,Rinktiniai raštai 2,1980,
"Juozas Ambrazevičius, Jonas Grinius, Antanas Vaičiulaitis",Visuotinė literatūra,1991,
Viktorija Daujotytė,"Kas tu esi, eilėrašti?",1980,
Viktorija Daujotytė,Lietuvių filosofinė lyrika,1977,
Viktorija Daujotytė,Lyrikos būtis,1987,
Vanda Zaborskaitė,Eilėraščio menas,1970,
I.M.Tronskis,Antikinės literatūros istorija,1955,
Dalia Dilytė,Antikinė literatūra,1998,
"A.Losevas, G.Sonkinas ir kt.",Antikinė literatūra,1973,
Nina Witoszzek,Norvegai gamtos mitologijos,2006,
Mečislovas Davainis-Silvestraitis,Pasakos. Sakmės. Oracijos,1973,
"Michael Rosen, Robert Ingpen",Shakespeare. Jo kūryba ir Jo pasaulis,2006,
Charles Kovacs,Botanika,2023,
,Pažinimo džiaugsmas. Mokslas ir visata,1989,
,Pažinimo džiaugsmas. Mokslas ir visata,1993,
Miglė Bernotaitė,"Chemijos eksperimentai 7 klasei, remiantis Valdorfo pedagogika",2023,
Dr.Susan Gregg,Toltekų kelias,2003,
John O’Donohue ,Anam čara: keltų pasaulio dvasinė išmintis,2016,
Antanas Juška,Lietuviškos dainos  I tomas,2023,
Antanas Juška,Lietuviškos dainos  II tomas,2023,
Antanas Juška,Lietuviškos dainos  III tomas,2023,
C.S.Lewis,Narnijos kronikos. Burtininko sūnėnas,2021,
Frances Hardinge,Veidas kaip stiklas,2019,
Vicki Myron ir Bret Witter,Devyni katino Diujo gyvenimai,2011,
Thomas Mayne Reid,Oceola seminolų vadas,2007,
Chuanas Ramonas Chimenesas,Plateras ir aš,1994,
Henris Raideris Hagardas,Montesumos duktė,1996,
C.S.Lewis,Narnijos kronikos. Sidabrinis krėslas.,2021,
Selma Lagerlef,Sakmė apie Gestą Berlingą,1982,
Selma Lagerlef,Sakmė apie Gestą Berlingą,1982,
Dž.F.Kuperis,Paskutinis Mohikanas,1998,
Dž.F.Kuperis,Paskutinis Mohikanas,1984,
Henrikas Ibsenas,Peras Giuntas,2006,
C.S.Lewis,"Narnijos kronikos. Liūtas, ragana ir drabužių spinta",2011,
Anne Cassody,Mėlyni laiškai,2007,
Meg Cabot,Paauglių idealas,2006,
Gediminas Isokas,Kai miškas šaukia,1984,
Michael Scott,Kerėtoja. Nemirtingojo Nikolo Flamelio paslaptys,2009,
Michael Scott,Alchemikas. Nemirtingojo Nikolo Flamelio paslaptys,2010,
Vytautas Petkevičius,Molio Motiejus – žmonių karalius,2022,
Vytautas Račickas,Nebaigtas dienoraštis,2006,
Džekas Londonas,Apsakymai,1952,
A.Levandovskis,Žana d’Ark,1985,
K.Majus,Sidabro ežero turtai,1991,
R.Kiplingas,Mauglis,1996,
R.Kiplingas,Mauglis,1997,
Gintarė Adomaitytė,Paklydusi pasaka,2010,
Ramunė Albrektienė,Pasakos apie Adeliną ir jos atradimų keliones,2020,
Vainius Bakas,Ką manė kamanė,2019,
Georgia Byng,Molė. Mėnulė stabdo pasaulį,2005,
Georgia Byng,Molės. Mėnulės kelionė laiku,2006,
Georgia Byng,Stebuklingoji Mėnulės knyga,2004,
Vitalijus Biankis,Apsakymai ir pasakos,1984,
Guid Blyton,Šauniojo penketuko nuotykiai,2006,
Cecil Bodker,Silas ir juodoji kumelė,1998,
Sabine Both,Persikraustymas ant devinto debesies,2005,
Christiana Bobin,Džiugė,2017,
Ann Brashares,Keliaujančių kelnių seserija,2004,
Kaja Elena Brailė,Angelai,2018,
Thomas Brezina,Dvi geriausios priešės,2006,9799986228416
Luji Busenaras,Kapitonas pramuštgalvis,1988,
Luji Busenaras,Kapitonas pramuštgalvis,1988,
Melvin Burgess,Heroinas,2015,
Meg Cabot,Princesės dienoraštis,2003,
Meg Cabot,Princesė Vakarėlyje,2009,
Eoin Colfer,Benis ir Omaras,2006,
Sharon Creech,Du mėnesiai kelio,2015,
"Elvire, Lorris  ir Marie – Aude Murail",Golemas,2008,
Michaelis Endė,Džimas Saga ir mašinistas Lukas,1998,
Michaelis Endė,Begalinė istorija,1995,
Hans Fallada,Anuomet mūsų namuose,2008,
Bruno Ferrero,25+1 Kalėdų istorijos,2011,
Rokas Flick,Paskutinis traukinys,2014,
Cornelia Franz,Nieko nėra lengviau už meilę,2007,
Claudia Frieser,Oskaras ir vaikų gaujos paslaptis,2013,
Ruvimas Frajermanas,Laukinis šuo dingas arba apysaka apie pirmąją meilę,1988,
Peter Freund,Laura ir sidabrinės Sfinksės mįslė,2005,
Peter Freund,Laura ir septynių mėnulių antspaudas,2003,
Peter Freund,Laura ir drakonų karalių prakeikimas,2008,
Neil Gaiman,Vandenynas kelio gale,2018,
M.Gorkis,Danko,1968,
A.Grinas,Raudonos burės,1960,
Urula K. Le Guin,Žemjūrė. Atuano kapai,2016,
Urula K. Le Guin,Žemjūrė. Tolimiausias krantas,2017,
H.Raideris Hagardas,Karaliaus Saliamono kasyklos,1990,
Yael Hansen,"Ei, maže!",2006,
Mark Haddon,Tas keistas nutikimas šuniui naktį,2016,
H.Raideris Hagardas,Karaliaus Saliamono kasyklos,1991,
Jurgis Jankus,Po raganos kirviu. Senas kareivis Matutis,1994,
Patricia St John,Sniegynų lobiai,1997,
Lene Kaaberbol,Gėdytojos karas,2005,
Lene Kaaberbol,Gyvatės dovana,2003,
Lene Kaaberbol,Gėdytojos ženklas,2003,
Morlis Kalagenas,Luko Boldvino priesaika,1989,
Daniel Keyes,Gėlės Aldžernonui,2009,
Liz Kessler,Emilės uodega,2003,
Nijolė Kepenienė,Vėjų rožė,2007,
Irmgarda Koin,"Mergaitė, su kuria draudžiama draugauti",1988,
John Krakauer,Į Laukinį pasaulį,2012,
F.Kuperis,Paskutinis Mohikanas 2 dalis,1991,
F.Kuperis,Paskutinis Mohikanas 1 dalis,1991,
Sarah Lean,Šimtasis žirgas,2017,
"Uli Leistenschneider, Isabelle Gontgen",Meilė – tai raganosiai pilve,2014,
Kari Levola,Noriu,2006,
C.S.Lewis,Narnijos kronikos. Paskutinis mūšis,2021,
C.S.Lewis,Narnijos kronikos. Princas Kaspianas,2011,
C.S.Lewis,Narnijos kronikos. Aušros užkariautojo kelionė,2011,
Emilija Liegutė,Krenta Klevo lapai,1990,
Hju Loftingas,Daktaro Dolitlio paštas,2007,
Lois Lowry,Sūnus,2020,
Lois Lowry,Mėlyna sruoga,2018,
Lois Lowry,Žinianešys,2019,
Henri Loevenbruck,Baltoji Vilkė ir žemės dukra. Moira – pirmoji knyga,2007,
Silvana De Mari,Paskutinis Orkas II knyga,2016,
Silvana De Mari,Paskutinis Orkas III knyga,2016,
Vladimiras Megre,"Esu tiems, kam esu Anastasija",2021,
A.A.Milne,Kai mes buvome maži,2002,
Marie Aude Murail,"Oh, boy!",2010,
William Nicholson,Skambantis bokštas,2006,
Marit Nicolaysen,Sveinas ir žiurkiukas,2007,
Eva Novacka,Keli mėnesiai – ištisas gyvenimas,1987,
Barbara O*Connor,Noras,2019,
Skotas O*Delas,Penktoji dalis karaliui,1993,
Vicente Riva Palacio,Meksikos įlankos piratai,2006,
Selemonas Paltanavičius,Raudonkojis Raudonsnapis,1989,
Selemonas Paltanavičius,Gandro Jono pasaulis,2009,
Saliamonas Paltanavičius,Ko tarškia kėkštai,1981,
Bobbie Peers,Viljamas Ventonas. Lauridijaus vagis,2015,
Bobbie Peers,Viljamas Ventonas Kriptono portalas,2017,
Terry Pratchett,Džonis ir mirusieji,2013,
Terry Pratchett,Tik tu gali išgelbėti žmoniją,1993,
Terry Pratchett,Džonis ir bomba,2015,
"Terry Pratchett, Neil Gaiman",Gera lemiantys ženklai,2016,
Philip Pullman,Auksinis kompasas,2007,
Philip Pullman,Aštrusis peilis,2008,
Philip Pullman,Gintarinis žiūronas,2008,
Main Ridas,Karo takas,1991,
Tomas Main Ridas,Grumtynės Meksikoje,1992,
Vytautas Račickas,Kita šlepetės istorija,1998,
Luise Rennison,Meilė yra tipo žiauri,2007,
Džanis Rodaris,Dusyk gyveno baronas. Lambertas arba Švento Džulijaus salos paslaptys,2001,
J.K.Rowling,Haris Poteris ir mirties relikvijos,2008,
J.K.Rowling,Haris Poteris ir Netikras Princas,2006,
J.K.Rowling,Harry Potter ir prakeiktas vaikas,2017,
J.K.Rowling,Haris Poteris ir fenikso brolija,2004,
J.K.Rowling,Haris Poteris ir Azkabano kalinys,2001,
J.K.Rowling,Haris Poteris ir fenikso brolija,2004,
J.K.Rowling,Haris Poteris ir ugnies taurė,2002,
Michael Scott,Magas. Nemirtingojo Nikolo Flamelio paslaptys,2008,
Ernestas Seton-Tompsonas,Lobas – vilkų karalius,1984,
Skomantas,Dievų valia,1995,
Ulf Stark,Tegu baltieji lokiai šoka,1998,
Agnieszka Stelmaszyk,Lobių ieškotojai. Atlantų lobis,2018,
Agnieszka Stelmaszyk,Lobių ieškotojai. Nefertitės lobio paslaptis,2017,
Agnieszka Stelmaszyk,Lobių ieškotojai. Didžiojo Magistro paslaptis,2018,
Agnieszka Stelmaszyk,Lobių ieškotojai. Auksinio Drakono prakeiksmas,2019,
Agnieszka Stelmaszyk,Lobių ieškotojai. Deimantų slėnio mįslė,2020,
Michael Swanwick,Vakuuminės gėlės,2001,
Eglė Venslovaitė Šiliūnienė,Gyveno kartą mamytė…,2009,
Hortense Ulrich,Kas pabučiuos paskutinis!,2004,
Hortense Ulrich,Verta kankintis dėl meilės,2003,
Hortense Ulrich,Tikras bučinys ilgiausias,2006,
Hortense Ulrich,1000 priežasčių nekentėti dėl meilės,2006,
Rebeka Una,Gyvažmogis,2018,
Rebeka Una,Šeštadienį aštuntą valandą,2017,
Žiulis Vernas,Žangada,1983,
Žiulis Vernas,Žangada,1983,
Ž.Vernas,Caro kurjeris,1991,
Sonia Fernandez Vidal,Niko kelionė per laiką ir erdvę,2014,
Aleksandras Volkovas,Geltonas rūkas,1962,
Liselotte Welskopf Henrich,Kelias tremtin,2003,
N.D.Wilson,Pienių ugnis,2016,
Zimmermann & Zimmermann,"Meilė, sumaištis, klasės išvyka",2001,
Zimmermann & Zimmermann,"Mokykla, neviltis, didelė meilė",2005,
Agnė Žagrakalytė,Klara,2014,
Vladimiras Železnikovas,Baidyklė,1987,
Sandra Glover,Adelė,2007,
Kazys Saja,Už nevarstomų durų,1978,
Kazys Saja,Už nevarstomų durų,1978,
Vaižgantas,Valiulio pasaka,1978,
Mykolas Sluckis,Geri namai,1986,
Vytautas Misevičius,Karalienės Barboros juokdarys,1980,
Motiejus Valančius,Vaikų knygelė,1992,
J.Meras,Lygiosios trunka akimirką,1963,
Meindertas de Jongas,Gandralizdis ant stogo,1999,
Mykolas Sluckis,Ežys ir saulė,1985,
Romenas Rolanas,Kola Brenjonas,1979,
Romenas Rolanas,Kola Brenjonas,1985,
V.Sarojanas,Žmogiškoji komedija,1959,
Stanislovas Abromavičius,Vaikystė Sibiro toliuose,2018,
Nijolė Indriūnaitė,Baltos pasakos,2008,
Viktoras Jasaitis,Priklausomas be galimybės mesti,2022,
"Justinas Žilinskas, Ūla Šveikauskaitė",Bėgliai. Jūrų kelias į Ameriką,2022,
Ursula K. Le Guin,Žemjūrė. Žemjūrės burtininkas,1992,
Rafael Abalos,Grimpou,2007,
Elizabeth Goudge,Čivyliai ir Valerijonai,2007,
Simas Zokaitis,Liftas,2022,
Arthur Conan Doyle,Šerloko Holmso ir daktaro Džono H.Vatsono istorijos,2010,
A.Konanas Doilis,Užrašai apie Šerloką Homsą,1985,
Silvana de Mari,Paskutinis orkas II knyga,2016,
C.S.Lewis,Aušros užkariautojo kelionė. Narnijos kronikos.,2021,
Vincas Pietaris,Lapės gyvenimas ir mirtis,1996,
Kazys Boruta,Dangus griūva,1979,
,Tūkstantis ir viena naktis,1994,
Hansas Christianas Andersenas,Pasakos ,1992,
Vilhelmas Haufas,Šaltoji širdis,1989,
Hansas Christianas Andersenas,Laukinės gulbės,1985,
,Antikinės tragedijos,1988,
,Antikinės tragedijos,1988,
,Antikinės komedijos,1989,
Frydrichas Šileris,Eilėraščiai. Dramos,1989,
Tomas Manas,Daktaras Faustas,1988,
,Šventasis Raštas. Naujasis testamentas,1992,
,Šventasis Raštas. Senasis testamentas,1991,
Tomas Hardis,Džudas Nepastebimasis,1988,
Vergilijus,Eneida,1989,
Adomas Mickevičius,Eilėraščiai. Poemos,1987,
Viljamas Meikpisas Tekerėjus,Tuštybės mugė,1990,
Valteris Skotas,Kventinas Dervardas,1987,
Alesandras Mandzonis ,Sužadėtiniai,1990,
Ovidijus,Matamorfozės,1990,
,Antikiniai romanai ir pasakėčios,1987,
,Antikiniai romanai ir pasakėčios,1987,
Džovanis Bokačas,Dekameronas,1987,
,Rolando giesmė. Nibelungų giesmė,1988,
,Senovės Rytų poezija,1991,
Henrikas Senkevičius,Quo vadis,1991,
,"Antikinės  tragedijos. Eschilas, Sofoklis, Euripidas",1988,
,Šventasis raštas. Senasis testamentas,1990,
,Šventasis raštas. Senasis testamentas,1991,
,Šventasis raštas. Naujasis testamentas,1992,
,Šventasis raštas. Naujasis testamentas,1991,
Jonas Avyžius,Mažosios pasakos,1969,
,Tūkstantis ir viena naktis VI tomas,1994,
,Tūkstantis ir viena naktis III tomas,1994,
,Tūkstantis ir viena naktis 1 dalis,1994,
,Tūkstantis ir viena naktis 2 dalis,1994,
,Tūkstantis ir viena naktis V tomas,1995,
,Tūkstantis ir viena naktis,1977,
,Stebuklingas ragas,2006,
Antanas Giedrius,Sutemų šnekos,1985,
Austrų pasakos,Septynios stirnos,1988,
Čekų pasakos ,Gyvačių karaliaus dovana,1985,
Fėjų pasakos,,1968,
,Gražiausios islandų pasakos ir sakmės ,2007,
Italų pasakos,Karaliaus sakalas,2008,
K. Kubilinskas,Molio motiejukas,1963,
Latvių liaudies pasakos,,1992,
Lietuvių liaudies pasakos,,2006,
Lietuvių mįslės ,,1940,
Linksmosios europos tautų pasakos,,2001,
Liudas Dovydėnas,Gyveno kartą karalius,2004,
Močiutės pasakėlės ,,1998,
Moldavų pasakos,Iš ašaros gimęs,1994,
Moldavų pasakos,Slibino karalystė,1985,
Nijolė Kepenienė,Baltosios žąsytės pasakos,2006,
Osentinų pasakos,Kaip pelė marčios ieškojo ,1986,
Pasakos apie darbą,Trys geri meistrai ,1991,
Pasakos apie paukščius ,,2002,
Pasaulio pasakos,Uralo sakmės padelas,1979,
Petras Cvirka ,Nemuno šalies pasakos ,1999,
Pranas Mašiotas ,Senelio pasakos,1997,
Pranas Mašiotas ,Vaikučių pasakėlės ,1997,
Rusų rašytojų pasakos,Baltasis garnys,1993,
Saulės vadoutojas,,1997,
Slovakų pasakos,Manhulena aukso mergelė,1983,
Stepas Zobarskas,Brolių ieškotoja,2018,9786098161250
Stepas Zobarskas,Brolių ieškotoja,2018,
Šarlis Pero ,Prancūzų pasakos,1997,
Škotų pasakos,,1973,
"Trumpos Lietiuvių pasakos apie žvėris,gyvulius ir paukščius",,2001,
Uzbekų pasakos ,Lakštingala devynbalsė,1983,
Vietnamo tautų pasakos,Stebuklingas kardas,1969,
Vytautas V. Landsbergis,Pasaka apie dievo vaikelį,2011,
Iliustruotos pasakos,Pasakos apie princus ir princeses,2002,
Iliustruotos pasakos,Pasakos apie princus ir princeses,2002,
,Naujosios mamytės pasakos,2000,
